english,mandarin,pinyin
The price of this dress is unreasonable.,???????????,zhè jiàn yi fu de jià gé tài gao le?
This work needs care; it mustn't be hurried.,"???????, ???.","zhè huór xu yào xì xin,  cui bù dé."
Hurry up or else you'll be late.,?,??????????,kuài, fou zé ni jiù yào lái bù jí le?
She's aiming at (ie trying to win) a scholarship.,????????.,ta zheng qu huò dé jiang xué jin.
He won honor for his courage.,????????????,ta yi yong qì yíng dé dà jia de zun jìng?
The gang is being hunted by the police.,??????????,zhè bang rén zhèng bèi jing fang zhui bu?
Look how our plants have shot up.,???????????,qiáo wo men de zhuang jia zhang de duo kuài?
They received baptism at the church.,???????????,ta men zài jiào táng jie shòu le xi li?
"Owing to the rain, the match was cancelled.",????,??????,yóu yú xià yu, qu xiao le bi sài?
They emptied the biscuits onto the plate.,???????????,ta men ba bing gan dào zài pán zi li?
The views between us are discordant.,???????????,wo men zhi jian de guan dian bù yi zhì?
It's dangerous to overtake on a bend.,??????????.,zài zhuan wan chù chao ju shí fen wei xian.
Copper conducts electricity better than iron does.,?????????,tóng de dao diàn xìng bì tie qiáng?
"He's a follower, not a leader.",?????,??????,ta shì zhui suí zhe, bú shì ling dào zhe?
There were some strange goings-on next door last night.,????????.,zuó yè gé bì you xie yì cháng.
She hopes to win the presidency.,???????????,ta xi wàng zheng qu dào zong tong zhí wèi?
Things of that nature do not interest me.,??????????.,wo duì nà zhòng shì wù bù gan xìng qu.
I'll have my watch repaired; it doesn't work.,?????,?????,wo de xiu xiu biao, ta bù zou le?
We're late; I must hurry you.,"?????, ???????.","zán men chí dào le,  wo bì xu cui ni yi xià."
He arrived at the meeting place beforehand.,??????????,ta tí qián dào dá huì miàn dì dian?
We must maintain a firm attitude.,????????????,wo men bì xu cai qu jian dìng de tài du?
The food should be kept at low temperature.,??????????,zhè zhong shí pin yìng di wen bao cún?
He dislikes his wide nostrils.,?????????????,ta bù xi huan zì ji de kuan dà de bí kong?
That woman has a very sharp tongue.,???????????,nèi gè nu:3 rén shuo huà fei cháng jian kè?
I asked the teacher for her advice.,???????????,wo zheng qiú zhè wèi lao shi de yì jiàn?
He regained his health after the operation.,??????????,shou shù hòu ta hui fù le jiàn kang?
She gave her mother an affectionate hug.,???????????,ta jin jin yong bào? ta de mu qin?
He knocked the old man down on purpose.,???????????,ta gù yì ba nèi gè lao rén zhuàng dào?
The news comes from a reliable source.,???????????,zhè xiao xi lái zì ke kào de lái yuán?
She wears a skirt of cambric.,????????????,ta chuan zhuó yi tiáo xì mián bù de qún zi?
The five-star red flag is fluttering in the wind.,?????????,wu xing hóng qí yíng feng piao yáng?
Let me row you over to the other side of the lake.,??????????.,wo ba ni huà dào hú duì àn qù ba.
Not all metals work easily.,????????????,bú shì suo you de jin shu dou róng yì jia gong
Ancient people wore tunics.,????????????,zài gu dài rén men chuan zhuó shù yao wài yi?
The heavy rain compelled us to stay indoors.,???????????,dà yu pò shi wo men dai zài hù nèi?
I wish I knew his address.,?????????????,yào shì wo zhi dào ta de dì zhi jiù hào le?
We participated in the spring fair.,???????????,wo men can jia le chun jì zhan lan huì?
I have to buy a new dry cell.,?????????????,wo bì xu mai yi jié xin de gàn diàn chí le?
He's entrusted his children to my care for a day.,??????????,ta tuo wo zhào kàn yi tian hái zi?
The protesters were dragged away by the police.,??????????,kàng yì zhe bèi jing chá tuo zou le?
He struggled to control his temper.,????????????,ta nu lì kòng zhì zhù zì ji de pí qì?
She has the ability to keep calm in an emergency.,?????????.,ta you chù biàn bù jing de ben shì.
Reservations can be made by letter or fax.,??????????,ke yi lái xìn huò chuán zhen yù dìng?
The waves gently lap against the shore.,???????????,hai làng qing qing de pai da zhuó hai àn?
The sheets have worn thin in the middle.,???????????,chuáng dan de zhong jian bù fen mò bò le?
The road was blocked by a huge rock.,????????????,dào lù bèi yi kuài dà shí tou du zhù le?
Sheer obstinacy prevented her from apologizing.,??????????,ta gù zhí de jiù shì bù dào qiàn?
"Pleasant intoxication, as from alcohol.",???????,???,zuì jiu yú kuài de chén zuì, rú jiu jing
He unfurled the newspaper and began to read.,??????????,ta zhan kai bào zhi kai shi yuè dú?
The reform is at its critical stage now.,??????????,gai gé zhèng chu yú guan jiàn jie duàn?
I saw a couple of cats in the yard.,???????????,zài yuàn zi li wo kàn jiàn liang zhi mao?
Do keep out of the rain if you haven't a coat.,??????????.,mò dài yu yi nà jiù bì yi xià yu.
His father reminds him not to be careless.,???????????,ta fù qin tí xing ta bù yào ma hu?
Bitterly did we repent our decision.,???????????,wo men fei cháng hòu hui zuò ci jué dìng?
I consulted with her about my report.,???????????,wo huò ta shang liàng guò wo de bào gào?
He entered the room with deliberate steps.,???????????,ta cong róng bù pò de zou jìn shì nèi?
I'll do everything possible to help you.,???????????,wo kuài jìn yi qiè ke néng bang zhù ni?
Take the second turning on the left.,???????????,zài dì èr gè zhuan wan chù xiàng zuo zhuàn?
The battlefield was a fearsome sight.,??????????.,zhè zhàn chang de qíng jing chù mù jing xin.
I gave my finger a prick with a needle.,???????????.,wo de shou zhi jiào zhen ji zhá le yi xià.
He picked the watch up from the carpet.,???????????,ta zòng dì tan shàng ba biao jian qi lai?
Stones were flying about in every direction.,??????????,shí kuài cháo sì miàn ba fang luàn fei?
He made no mention of having met her.,???????????,ta bù tí ta céng jing huò ta jiàn miàn?
Everyone should comply with the law.,???????????,mei gè rén dou ying gai zun shou fa lu:4?
I need to change my dollars into francs.,??????????.,wo xu yào ba mei jin huàn chéng fa láng.
Don't drop cigarette ash on the carpet.,???????????,bù yào ba yan hui diào zài dì tan shàng?
We have similar tastes in music.,???????????.,wo men zài yin yuè fang miàn ài hào xiang sì.
May we proffer you our congratulations?,??????????.,qing ràng wo men xiàng ni biao shì zhù hè.
The dancer was showered with praise.,???????????,nèi gè tiào wu de rén bèi shòu cheng zàn?
This work needs care; it mustn't be hurried.,"???????, ???.","zhè huór xu yào xì xin,  cui bù dé."
She spent the evening marking examination papers.,?????????.,ta yi wan shang dou zài pi shì juàn.
The news of her death circulated quickly.,???????????,ta si qù de xiao xi xùn sù zhuàn kai?
Politics can be an explosive subject.,???????????,zhèng zhì wèn tí róng yì yin qi zheng lùn?
They emptied the biscuits onto the plate.,???????????,ta men ba bing gan dào zài pán zi li?
This regulation refers only to children.,???????????,zhè xie gui dìng jin shì yòng yú ér tóng?
I'm full of the joys of spring.,????????????,wo xin li chong man le qing chun de huan lè?
He was involved in working out a plan.,???????????,ta zhuan xin zhì zhì de zhì dìng jì huà?
A man can do no more than he can.,???????????,rén zhi néng zuò lì suo néng jí de shì?
The people are oppressed by the military goverment.,?????????.,rén mín shòu jun zhèng fu de ya pò.
He was excused from attendance at the lecture.,??????????,ta huò zhun ke yi bù qù ting jiang?
Potatoes can be parboiled before roasting.,??????????.,tu dòu ke xian zhu zhì bàn shú zài kao.
The luminous intensity on unit area.,???????????,dan wèi miàn ji shàng de fa guang qiáng dù?
He's just trifling with her affections.,???????????,ta zhi shì zài wán nòng ta de gan qíng?
Better reduce the price than allow a discount.,?????,?????,yu qí ji zhé kòu, bù rú jian jià?
He acted in accordance with his beliefs.,???????????,ta àn zhào zì ji de xìn niàn xìng shì?
His speech followed the usual pattern.,??????????.,ta àn zhào tong cháng de fang shì jiang huà.
She waved them away impatiently.,????????????.,ta bù nài fán de hui shou ràng ta men zou kai.
The expenditure of money on weapons is very large.,??????????,gòu zhì wu qì de kai zhi hen dà?
She turned down the blankets and climbed into bed.,?????????.,ta xian qi tan zi shàng chuáng qù le.
She arranged some flowerets in the vase.,???????????,ta wàng píng zi li cha le xie xiao hua?
I work for a commercial radio station.,??????????.,wo zài shang yè guang bo diàn tái gong zuò.
He was only eight when he ascended the throne.,??????????,ta deng shàng wáng wèi shí cái ba suì?
Her shoes chafed the skin on her feet.,????????????,xié zi ca pò le ta jué shàng de pí fu?
The monument was fronted with stone.,???????????.,jì niàn bei de zhèng miàn shì shí liào zuò de.
This dress is made of artificial fibers.,???????????,zhè jiàn yi fu shì rén zào xian wéi de?
She makes mean little digs at him.,????????????.,ta chòng ta shuo yi xie ke bó de wa ku huà.
Her skirt has a long slit.,?????????????,ta de qún zi shàng you gè xì cháng de kai kou?
He drew up a brief for his speech.,????????????,ta qi cao le yi fèn jiang huà de gài yào?
It's only the initiative of the investigation.,??????????,zhè jin jin shì diào chá de kai shi?
In saying this I am not aiming at you.,???????????,zhè yàng shuo bú shì zài zhen duì ni de?
She went on a long sea voyage.,???????????,ta chéng chuán zài hai shàng cháng tú lu:3 xíng?
Please focus your minds on the following problem.,?????????.,qing jí zhong kao lu:4 yi xià wèn tí.
He is on a diet to reduce some weight.,???????????,ta zhèng zài jié shí yi jian qing ti zhòng?
His pocket was all gummed up with candy.,???????????,ta de kou dài quán bèi táng zhan zhù le?
I chanced to be thinking of the same thing.,??????????,wo pèng qiao xiang dào tóng yàng de shì?
Most handwriting slants to the right.,???????????,dà duo shù shou xie ti dou xiàng yòu xié?
Smoking is not good for your health.,????????????,xi yan duì ni de jiàn kang méi you hao chu?
It's time to tackle my homework.,????????????.,xiàn zài gai duì fu wo de jia tíng zuò yè le.
There is a specific tool for each job.,???????????,gè gong zhòng pèi bèi tè dìng de gong jù?
He was too weak even to lift his hand.,????????????,ta xu ruò de lián shou dou tái bù qi lai?
She tried to needle me into losing my temper.,???????????,ta xiang fang shè fa re wo fà pí qì?
You have only to show your passport.,????????????,ni zhi yào chu shì ni de hù zhào jí ke?
He pulled out a pile of used bank note.,????????????,ta tao chu yi dié yòng jiù le de zhi bì?
The jungle swallowed up the explorers.,???????????.,tàn xian rén yuán xiao shi zài mì lín li le.
The project was completed ahead of the schedule.,?????????,zhè xiàng gong chéng tí qián wán gong?
No doubt her death is related to politics.,???????????,ta de si wú yí Hé zhèng zhì you guan?
Follow the text while I read it out to you.,"????, ??????.","kàn? kè wén,  tìng wo ji ni lang dú."
It is said that our progenitors are monkeys.,???????????,jù shuo wo men de zu xian shì hóu zi?
I am a broadcasting auditor.,????????????,wo shì yi míng guang bo diàn tái de ting zhòng?
The music really stirred my blood.,???????????.,zhè yin yuè dí què shi wo fei cháng ji dòng.
The road was blocked by a huge rock.,????????????,dào lù bèi yi kuài dà shí tou du zhù le?
Many things are made out of bamboo.,????????????,hen duo dong xi shì yóu zhú zi zuò chu de?
It's a waste of time and energy.,???????????.,nà jian zhí shì làng fèi shí jian huò jing lì.
The workmen fixed the water system.,???????????,gong rén men zhuang hào le gong shui xì tong?
I made a lucid explanation to them.,????????????,wo xiàng ta men zuò le míng bai de jie shì?
He pursues his aims with diligence.,????????????.,ta nu lì zhui qiú zì ji de fèn dòu mù biao.
Her proposal met with continual rejections.,???????????,ta de jiàn yì yi zài zao dào jù jué?
This oriental legend is fascinating.,???????????,zhè gè dong fang chuán shuo hen xi yin rén?
I stood there quaking with fear.,?????,???????,wo zhàn zài nà li, hài pà de zhí fa dou?
She was badly cut up when she failed.,???????????,ta shi bài hòu gan dào fei cháng tòng xin?
He's quite reckless of his own safety.,????????????,ta wán quán bù gù jí zì ji de an quán?
